# Model Spectrum: Blackbody T = 10000.000
# No ISM extinction
# Normalization: A0V magnitude 15.000000 for filter 2MASS Ks
# 
# Wavelength (microns)   F_lambda (W/m^2/micron)   F_nu (Jy)
     0.09004517  3.604739e-16  9.749312e-07
     0.09013545  3.644583e-16  9.876847e-07
     0.09022581  3.684807e-16  1.000589e-06
     0.09031626  3.725416e-16  1.013645e-06
     0.09040680  3.766412e-16  1.026855e-06
     0.09049743  3.807798e-16  1.040221e-06
     0.09058816  3.849578e-16  1.053744e-06
     0.09067897  3.891753e-16  1.067426e-06
     0.09076988  3.934329e-16  1.081268e-06
     0.09086088  3.977307e-16  1.095273e-06
     0.09095196  4.020690e-16  1.109441e-06
     0.09104314  4.064482e-16  1.123774e-06
     0.09113441  4.108686e-16  1.138275e-06
     0.09122578  4.153305e-16  1.152944e-06
     0.09131723  4.198341e-16  1.167784e-06
     0.09140878  4.243799e-16  1.182796e-06
     0.09150041  4.289682e-16  1.197982e-06
     0.09159214  4.335992e-16  1.213345e-06
     0.09168396  4.382733e-16  1.228884e-06
     0.09177588  4.429907e-16  1.244604e-06
     0.09186788  4.477520e-16  1.260504e-06
     0.09195998  4.525572e-16  1.276587e-06
     0.09205217  4.574069e-16  1.292856e-06
     0.09214445  4.623013e-16  1.309311e-06
     0.09223683  4.672407e-16  1.325955e-06
     0.09232929  4.722255e-16  1.342789e-06
     0.09242185  4.772560e-16  1.359816e-06
     0.09251451  4.823326e-16  1.377037e-06
     0.09260725  4.874556e-16  1.394454e-06
     0.09270009  4.926252e-16  1.412070e-06
     0.09279302  4.978420e-16  1.429886e-06
     0.09288605  5.031062e-16  1.447905e-06
     0.09297917  5.084181e-16  1.466127e-06
     0.09307238  5.137781e-16  1.484556e-06
     0.09316568  5.191866e-16  1.503193e-06
     0.09325908  5.246439e-16  1.522040e-06
     0.09335258  5.301503e-16  1.541100e-06
     0.09344616  5.357062e-16  1.560375e-06
     0.09353984  5.413120e-16  1.579866e-06
     0.09363362  5.469680e-16  1.599576e-06
     0.09372748  5.526746e-16  1.619506e-06
     0.09382145  5.584321e-16  1.639660e-06
     0.09391550  5.642409e-16  1.660039e-06
     0.09400965  5.701013e-16  1.680646e-06
     0.09410390  5.760138e-16  1.701482e-06
     0.09419824  5.819786e-16  1.722550e-06
     0.09429267  5.879962e-16  1.743852e-06
     0.09438720  5.940669e-16  1.765391e-06
     0.09448182  6.001911e-16  1.787168e-06
     0.09457654  6.063692e-16  1.809186e-06
     0.09467135  6.126015e-16  1.831448e-06
     0.09476626  6.188885e-16  1.853955e-06
     0.09486126  6.252304e-16  1.876710e-06
     0.09495636  6.316277e-16  1.899716e-06
     0.09505156  6.380807e-16  1.922974e-06
     0.09514685  6.445899e-16  1.946487e-06
     0.09524223  6.511555e-16  1.970258e-06
     0.09533771  6.577781e-16  1.994289e-06
     0.09543329  6.644580e-16  2.018583e-06
     0.09552896  6.711955e-16  2.043141e-06
     0.09562473  6.779911e-16  2.067968e-06
     0.09572059  6.848452e-16  2.093064e-06
     0.09581655  6.917581e-16  2.118432e-06
     0.09591261  6.987303e-16  2.144076e-06
     0.09600876  7.057621e-16  2.169998e-06
     0.09610501  7.128539e-16  2.196200e-06
     0.09620135  7.200062e-16  2.222685e-06
     0.09629780  7.272193e-16  2.249456e-06
